Inactive,Close Date,Location Desc,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
No,11/1/2017,"HTS - Brownsburg,IN",HTS,Owner,1521,1521,1521,9039,220,,Brownsburg,IN,46112,800 E. Main Street,,39.839469,-86.383277,,,,Retail,,
No,7/29/2017,"HAS - Rock Hill,MO",HAS,,1741,1741,1741,9080R,290,,Rock Hill,MO,63119,9544 Manchester Road,,,,,,,Retail,,
No,7/29/2017,"HAS - Manchester,MO",HAS,,1803,1803,1803,9080R,290,,Manchester,MO,63011,14173 Manchester Road,,,,,,,Retail,,
No,7/31/2016,"HTS - Clayton, NC",HTS,,1825,1825,1825,9040,394,,Clayton,,,"8878 US 70 Highway West, Suite 300",,,,,,,Retail,,
No,11/25/2016,"HTS - Brownfield,TX",HTS,,1833,1833,1833,9029,397,,Brownfield,TX,79316,103 S 6th Street,,,,,,,Retail,,
Yes,,,HTS,,1835-DELETE,,,,,,Fort Gratiot,MI,48059,3842 Pine Grove,,,,,,,Retail,,
No,6/6/2017,"HTS - Cornelius,OR",HTS,,1849,1849,1849,9037,101,,Cornelius,OR,97113,3150 Baseline Highway,,,,,,,Retail,,
No,7/29/2017,"HTS - Hayward,WI",HTS,,1851,1851,1851,9052,119,,Hayward,WI,54843,15734 Highway 63,,,,,,,Retail,,
No,1/7/2017,"HAS - North Aurora,IL",HAS,,1861,1861,1861,9080R,290,,North Aurora,IL,60542,106 Hansen Boulevard,,,,,,,Retail,,
No,1/28/2017,"HTS - Rockford,MN",HTS,,1862,1862,1862,9052,221,,Rockford,MN,55373,7955 Highway 55,,,,,,,Retail,,
No,9/9/2017,"HTS - Newport,AR",HTS,Owner,1869,1869,1869,9040,378,,Newport,AR,72112,2105 Malcolm Avenue,,35.607001,-91.254467,,2/25/2016,,Retail,,
No,7/29/2017,"HTS - Massena,NY",HTS,,1876,1876,1876,9042,390,,Massena,NY,13662,6100 Street Lawrence Centre SR 37,Suite 403,,,,,,Retail,,
No,7/29/2017,"HTS - Morton,IL",HTS,,1878,1878,1878,9052,393,,Morton,IL,61550,901 Detroit Court,,,,,,,Retail,,
No,7/29/2017,"HTS - Hayes,VA",HTS,,1885,1885,1885,9042,365,,Hayes,VA,23072,2352 George Washington,Memorial Hwy,,,,,,Retail,,
No,1/28/2017,"HTS - Cordele,GA",HTS,,1886,1886,1886,9040,375,,Cordele,GA,31015,407 W 8th Avenue Connector,,,,,,,Retail,,
No,1/28/2017,"HTS - Tifton,GA",HTS,,1887,1887,1887,9040,375,,Tifton,GA,31794,704 W 3rd Street,,,,,,,Retail,,
No,7/29/2017,"HTS - Teays Valley,WV",HTS,,1895,1895,1895,9042,127,,Teays Valley,WV,25569,8 Putnam Village Drive,,,,,,,Retail,,
No,3/28/2017,"HAS - Matthews,NC",HAS,,1926,1926,1926,9080R,222,,Matthews,NC,28105,9721 E Independence Boulevard,,,,,,,Retail,,
No,7/29/2017,"HAS - Mansfield,TX",HAS,,1928,1928,1928,9080R,205,,Mansfield,TX,76063,1405 Highway 287 North,Suite 107,,,,,,Retail,,
No,1/20/2018,"HTS - Livingston,MT",HTS,Owner,1929,1929,1929,9037,107,,Livingston,MT,59047,124 South Main Street,,45.661028,-110.55918,,,,Retail,,
No,1/28/2017,"HTS - Beloit,WI",HTS,,1933,1933,1933,9042,121,,Beloit,WI,53511,1970 Sutler Avenue,,,,,,,Retail,,
No,7/29/2017,"HAS - Flower Mound,TX",HAS,,1936,1936,1936,9080R,205,,Flower Mound,TX,75028,5810 Long Prairie Road,,,,,,,Retail,,
No,9/27/2016,"HAS - Denham Springs,LA",HAS,,2024,2024,2024,9080R,240,,Denham Springs,LA,70726,2370 South Range Avenue,,,,,,,Retail,,
No,12/31/2016,"HAS - Columbus,OH",HAS,,2193,2193,2193,9080R,290,,Columbus,OH,43219,4028 Morse Crossing,,,,,,,Retail,,
No,9/30/2016,"HAS - Laurel,MD",HAS,,2194,2194,2194,9080R,370,,Laurel,MD,20707,13600 Baltimore Avenue,,,,,,,Retail,,
No,3/31/2017,"HAS - Lake Worth,FL",HAS,,2235,2235,2235,9080R,222,,Lake Worth,FL,33467,6169 S Jog Road,Suite 8A-10A,,,,,,Retail,,
No,7/29/2017,"HTS - Leeds,AL",HTS,,2409,2409,2409,9040,384,,Leeds,AL,35094,7480 Parkway Rd,,,,,,,Retail,,
No,4/30/2017,"HAS - Austin,TX",HAS,,2531,2531,2531,9080R,240,,Austin,TX,78759,10225 Research Boulevard,Suite 200,,,,,,Retail,,
No,1/28/2017,"HAS - Aurora,CO",HAS,,2542,2542,2542,9080R,229,,Aurora,CO,80016,6290 South Main Street,Suite M-108,,,,,,Retail,,
No,6/29/2017,"HAS - Sandy,UT",HAS,,2559,2559,2559,9080R,229,,Sandy,UT,84094,9269 S Village Shop Drive,,,,,,,Retail,,
No,1/28/2017,"HTS - Lebanon,OR",HTS,,2579,2579,2579,9037,101,,Lebanon,OR,97355,2582 S Santiam Highway,,,,,,,Retail,,
No,7/26/2016,"HTS - Dacula,GA",HTS,Transition,2706,2706,2706,9040,395,,Dacula,GA,30019,832 Dacula Road,,,,,,,Retail,,
No,7/29/2017,"HTS - Henderson,KY",HTS,,2726,2726,2726,9039,207,,Henderson,KY,42420,1640 Second Street,,,,,,,Retail,,
No,7/29/2017,"HTS - Columbia,MS",HTS,,2730,2730,2730,9040,211,,Columbia,MS,39429,813 US Highway 98,,,,,,,Retail,,
No,7/29/2017,"HTS - Salem,OH",HTS,,2751,2751,2751,9042,364,,Salem,OH,44460,2350 East State Street,,,,,,,Retail,,
No,7/29/2017,"HTS - Kimberling City,MO",HTS,,2767,2767,2767,9040,219,,Kimberling City,MO,65686,12622 State Hwy 13,,,,,,,Retail,,
No,12/31/2016,"HAS - Miami,FL",HAS,,2785,2785,2785,9080R,222,,Miami,FL,33186,11780 N Kendall Drive,,,,,,,Retail,,
No,12/31/2016,"HAS - Layton,UT",HAS,,2914,2914,2914,9080R,229,,Layton,UT,84041,756 N Main Street,,,,,,,Retail,,
No,1/31/2017,"HAS - Clifton Park,NY",HAS,,2972,2972,2972,9080R,260,,Clifton Park,NY,12065,54 Crossing Boulevard,,,,,,,Retail,,
No,1/28/2017,"HTS - Delta,CO",HTS,,3000,3000,3000,9037,111,,Delta,CO,81416,208 Ute Street,,,,,,,Retail,,
No,7/8/2017,"HTS - WINDHAM,ME",HTS,,3003,3003,3003,9042,373,,WINDHAM,ME,04062,771 ROOSEVELT TRAIL STE 4,,,,,,,Retail,,
No,6/30/2017,"HTS - Oroville,CA",HTS,,3038,3038,3038,9037,103,,Oroville,CA,95965,2140 Feather River Boulevard,,,,,,,Retail,,
No,1/28/2017,"HTS - Madera,CA",HTS,,3039,3039,3039,9037,217,,Madera,CA,93637,1820 Howard Road,,,,,,,Retail,,
No,1/28/2017,"HTS - Aurora,IN",HTS,,3101,3101,3101,9042,127,,Aurora,IN,47001,513 Green Boulevard,,,,,,,Retail,,
No,6/10/2017,"HTS - Springville,NY",HTS,,3134,3134,3134,9042,362,,Springville,NY,14141,14218 Route 219,,,,,,,Retail,,
No,4/8/2017,"HTS - Albertville,AL",HTS,,3135,3135,3135,9040,384,,Albertville,AL,35950,5850 US Highway 431,,,,,,,Retail,,
No,1/28/2017,"HTS - Scottsboro,AL",HTS,,3165,3165,3165,9040,369,,Scottsboro,AL,35769,158 Micah Way,,,,,,,Retail,,
No,9/24/2017,"HTS - Virginia,MN",HTS,Transition,3210,3210,3210,9042,119,,Virginia,MN,55792,5465 Mt Iron Drive,,47.511209,-92.560478,,7/9/2017,,Retail,,
No,1/1/2016,"HTS - Vincennes,IN",HTS,,3212,3212,3212,9039,220,,Vincennes,,,,,,,,,,Retail,,
No,1/28/2017,"HTS - Washington,NC",HTS,,3236,3236,3236,9040,376,,Washington,NC,27889,1308 Carolina Avenue,,,,,,,Retail,,
No,7/31/2016,HTS - Pekin Services,HTS,,3258,3258,3258,9042,393,,Pekin,,,3247 COURT STREET SUITE A,,40.547482,,,,,Retail,,
No,7/29/2017,"HTS - RINDGE,NH",HTS,,3273,3273,3273,9042,382,,RINDGE,NH,03461,4 SEARS DRIVE,,,,,,,Retail,,
No,1/28/2017,"HTS - Richmond,KY",HTS,,3294,3294,3294,9040,129,,Richmond,KY,40475,830 Eastern Bypass,,,,,,,Retail,,
No,1/1/2016,"HTS - Mount Vernon,IL",HTS,,3300,3300,3300,9039,216,,Mount Vernon,IL,62864,4700 Broadway,,,,,,,Retail,,
No,7/29/2017,"HTS - Greenville,AL",HTS,,3356,3356,3356,9040,391,,Greenville,AL,36037,140 W Commerce Street,,,,,,,Retail,,
No,1/28/2017,"HTS - Lake Elsinore,CA",HTS,,3402,3402,3402,9037,105,,Lake Elsinore,CA,92530,16782 Lakeshore Drive,Suite B,,,,,,Retail,,
No,1/28/2017,"HTS - Nags Head,NC",HTS,,3446,3446,3446,9040,376,,Nags Head,NC,27959,2210 P South Croatan Highway,,,,,,,Retail,,
No,4/29/2017,"HTS - Gillette,WY",HTS,,3470,3470,3470,9037,218,,Gillette,WY,82718,305 East Lakeway Road,,,,,,,Retail,,
No,1/20/2018,"HTS - Woodlawn,VA",HTS,Transition,3494,3494,3494,9040,376,,Woodlawn,VA,24381,30 Partridge Road,,36.737109,-80.792124,,11/27/2016,,Retail,,
No,7/29/2017,"HTS - Hastings,MN",HTS,,3532,3532,3532,9052,221,,Hastings,MN,55033,275 W 33rd Street,Space C,,,,,,Retail,,
No,1/28/2017,"HTS - Logan,WV",HTS,,3543,3543,3543,9040,129,,Logan,WV,25601,105 Holly Avenue,,,,,,,Retail,,
No,1/28/2017,"HTS - Bucyrus,OH",HTS,,3611,3611,3611,9042,381,,Bucyrus,OH,44820,199 Stetzer Road,,,,,,,Retail,,
No,1/1/2016,"HTS - Laurel,MS",HTS,,3626,3626,3626,9040,211,,Laurel,,,,,,,,,,Retail,,
No,1/20/2018,"HTS - Woodward,OK",HTS,Transition,3636,3636,3636,9039,377,,Woodward,OK,73801,3000 8TH Street,,36.416538,-99.388924,,7/8/2017,,Retail,,
No,8/14/2017,"HTS - Demopolis,AL",HTS,Transition,3704,3704,3704,9040,380,,Demopolis,AL,36732,1502 US Highway 80 E,,32.502614,-87.815974,,12/9/2016,,Retail,,
No,8/8/2016,HTS - Swanzey Services,HTS,,3716,3716,3716,9042,382,,Swanzey,,,15 W SWANZEY RD,,42.910544,,,,,Retail,,
No,1/1/2016,"HTS - California,MD",HTS,,3743,3743,3743,9042,363,,California,,,,,,,,,,Retail,,
Yes,,,HTS,,3746-DELETE,,,,,,Corona De Tucson,AZ,85641,16335 S. Houghton Rd,,,,,,,Retail,,
No,1/28/2017,"HTS - Camden,TN",HTS,,3787,3787,3787,9039,212,,Camden,TN,38320,234 W Main Street,,,,,,,Retail,,
No,11/15/2016,"HTS - Kenton,OH",HTS,,3791,3791,3791,9042,381,,Kenton,OH,43326,989 E Columbus Street,,,,,,,Retail,,
No,1/19/2018,"HTS - Lake Forest,CA",HAS,Franchise,3792,3792,3792,9080R,392,,Lake Forest,CA,92630,23600 Rockfield Blvd Suite 2D,,33.629167,-117.718991,,,,Retail,,
Yes,,,HAS,,3792-DELETE,,,,,,Lake Forest,CA,92630,23600 Rockfield Blvd Suite 2D,,,,,,,Retail,,
No,1/28/2017,"HTS - Carthage,TX",HTS,,3806,3806,3806,9029,210,,Carthage,TX,75633,307 NW Loop 436,,,,,,,Retail,,
No,1/28/2017,"HTS - Hartsville,SC",HTS,,3887,3887,3887,9040,371,,Hartsville,SC,29550,107 Westfield Street,,,,,,,Retail,,
No,11/1/2017,"HTS - LaGrange,GA",HTS,Owner,3898,3898,3898,9040,395,,LaGrange,GA,30241,325 S Davis Road,,33.048642,-84.983436,,10/2/2005,,Retail,,
No,7/29/2017,"HTS - Batesville,MS",HTS,,3903,3903,3903,9039,378,,Batesville,MS,38606,106 Highway 51 North,,,,,,,Retail,,
No,7/29/2017,"HTS - Sylacauga,AL",HTS,,3918,3918,3918,9040,384,,Sylacauga,AL,35150,1393 W Fort Williams Street,,,,,,,Retail,,
No,1/28/2017,"HTS - Huntington,IN",HTS,,3930,3930,3930,9052,124,,Huntington,IN,46750,2052 North Jefferson,,,,,,,Retail,,
No,1/28/2017,"HTS - Montevideo,MN",HTS,,3952,3952,3952,9052,221,,Montevideo,MN,56265,116 South First Street,,,,,,,Retail,,
No,7/29/2017,"HTS - St. Clair,MI",HTS,,3980,3980,3980,9042,126,,St. Clair,MI,48079,201 N Riverside Avenue,,,,,,,Retail,,
No,1/28/2017,"HTS - Brewton,AL",HTS,,3992,3992,3992,9040,391,,Brewton,AL,36426,1023 Douglas Avenue,,,,,,,Retail,,
No,1/1/2016,"HTS - Bellingham,WA Services",HTS,,3995,3995,3995,9037,110,,Bellingham,,,3548 MERIDIAN STREET STE,,48.778149,,,,,Retail,,
No,8/7/2017,"HTS - Collinsville,VA",HTS,,4079,4079,4079,9040,394,,Collinsville,VA,24078,2424 Virginia Avenue,,,,,,,Retail,,
No,4/28/2017,"HTS - Sumter,SC",HTS,,4111,4111,4111,9040,371,,Sumter,SC,29150,1298 Broad Street,,,,,,,Retail,,
No,1/28/2017,"HTS - Marlton,NJ",HTS,,4217,4217,4217,9080R,370,,Marlton,NJ,08053,237 Route 73 South,,,,,,,Retail,,
No,6/22/2017,"HAS - Miami,FL",HAS,,4256,4256,4256,9080R,222,,Miami,FL,33143,6605 S Dixie Highway,,,,,,,Retail,,
No,11/15/2016,"HTS - Norwich,NY",HTS,,4571,4571,4571,9042,362,,Norwich,NY,13815,48 Hale Street,,,,,,,Retail,,
No,12/31/2016,"HAS - Gresham,OR",HAS,,4624,4624,4624,9080R,392,,Gresham,OR,97030,590 NW Eastman Parkway,,,,,,,Retail,,
No,3/31/2017,"HAS - Murray,UT",HAS,,4654,4654,4654,9080R,229,,Murray,UT,84107,6328 S State Street,,,,,,,Retail,,
No,1/28/2017,"HAS - S PLAINFIELD,NJ",HAS,,4661,4661,4661,9080R,370,,S PLAINFIELD,NJ,07080,4910 HADLEY CENTER DRIVE,,,,,,,Retail,,
No,1/28/2017,"HAS - Chino,CA",HAS,,4718,4718,4718,9080R,392,,Chino,CA,91710,4036 Grand Avenue,,,,,,,Retail,,
No,1/1/2016,4745 - Trinidad and Tobago,HTS,,4746,4746,4746,9288,200,,Miami,FL,33178,11403 N W 39th Street,,,,,,,Retail,,
No,1/28/2017,"HTS - High Point,NC",HTS,,4774,4774,4774,9040,394,,High Point,NC,27262,1800 N Main Street,,,,,,,Retail,,
Yes,,,HTS,,4831-DELETE,,,,,,Dallas,TX,75240,14060 Dallas Parkway,,,,,,,Retail,,
No,7/31/2016,"HTS - Longmont,CO Services",HTS,,4843,4843,4843,9037,111,,Longmont,,,700 KEN PRATT BLVD STE K2,,40.153442,,,,,Retail,,
No,7/29/2017,"HTS - MILTON,VT",HTS,,4864,4864,4864,9042,390,,MILTON,VT,05468,414 ROUTE 7 S,,,,,,,Retail,,
No,1/28/2017,"HAS - Newark,DE",HAS,,4979,4979,4979,9080R,370,,Newark,DE,19702,310 Center Boulevard,,,,,,,Retail,,
No,12/9/2017,"HAS - Louisville,KY",HAS,Company,5056,5056,5056,9080R,290,,Louisville,KY,40241,10520 Westport Road,Suite 101,38.294057,-85.55709,,6/21/2015,,Retail,,
No,3/31/2017,"HAS - Indianapolis,IN",HAS,,5061,5061,5061,9080R,290,,Indianapolis,IN,46268,8320 Michigan Road,Suite 100,,,,,,Retail,,
No,7/29/2017,"HAS - Hawthorne,CA",HAS,,5064,5064,5064,9080R,392,,Hawthorne,CA,90250,2851 W 120th Street,,,,,,,Retail,,
No,2/14/2017,"AHS - Houston,TX",AHS,,5086,5086,5086,9041,311,,Houston,TX,77089,11293 Fuqua Street,Suite 126,,,,,,Retail,,
No,10/14/2016,"AHS - Kingwood,TX",AHS,,5087,5087,5087,9041,311,,Kingwood,TX,77339,23914 Highway 59 North,,,,,,,Retail,,
No,8/25/2017,"AHS - Cedar City,UT",AHS,Franchise,5122,5122,5122,9041,303,,Cedar City,UT,84720,1166 S Sage Drive,,37.657409,-113.08272,,,,Retail,,
No,11/14/2016,"AHS - Edwardsville,IL",AHS,,5130,5130,5130,9041,306,,Edwardsville,IL,62025,2300 Troy Road,,,,,,,Retail,,
No,1/28/2017,"AHS - WEST CALDWELL,NJ",AHS,,5173,5173,5173,9041,321,,WEST CALDWELL,NJ,07006,975 BLOOMFIELD AVE STE 2,Suite.2,,,,,,Retail,,
No,1/28/2017,"HTS - Camas,WA",HTS,,5180,5180,5180,9037,101,,Camas,WA,98607,224 NE 3rd Avenue,,,,,,,Retail,,
No,1/1/2016,"HTS - Iowa City,IA",HTS,,5186,5186,5186,9039,120,,Iowa City,,,,,,,,,,Retail,,
No,10/15/2016,"HTS - ORLEANS,MA",HTS,,5192,5192,5192,9042,382,,ORLEANS,MA,02653,P.O. BOX 1644,Unit B6,,,,,,Retail,,
No,3/31/2017,"AHS - Houston,TX",AHS,,5195,5195,5195,9041,311,,Houston,TX,77065,9425 Jones Road,,,,,,,Retail,,
No,7/29/2017,"AHS - Spring,TX",AHS,,5196,5196,5196,9041,311,,Spring,TX,77388,4690 Louetta,,,,,,,Retail,,
No,1/28/2017,"HTS - Heber City,UT",HTS,,5202,5202,5202,9037,108,,Heber City,UT,84032,84 S Main Street,,,,,,,Retail,,
No,10/14/2017,"AHS - Kennett Square,PA",AHS,Company,5213,5213,5213,9041,321,,Kennett Square,PA,19348,817 E Baltimore Pike,,39.861815,-75.685445,,3/4/2012,,Retail,,
No,1/20/2018,"HTS - Greenville,MS",HTS,Transition,5214,5214,5214,9040,380,,Greenville,MS,38701,1651 Highway 1 South,Suite A,33.375011,-91.041006,,2/26/2017,,Retail,,
No,7/29/2017,"HTS - Georgetown,KY",HTS,,5232,5232,5232,9042,127,,Georgetown,KY,40324,401 Outlet Center Drive,,,,,,,Retail,,
No,1/28/2017,"AHS - Sugar Land,TX",AHS,,5247,5247,5247,9041,311,,Sugar Land,TX,77479,4550 Highway 6 South,,,,,,,Retail,,
No,7/29/2017,"HTS - Parker,CO",HTS,,5276,5276,5276,9037,111,,Parker,CO,80134,18403 Longs Way,Unit 107,,,,,,Retail,,
No,5/14/2016,"5281 - Parma, OH Services",AHS,,5281,5281,5281,9041,302,,Parma,,,7490 Broadview Road,,,,,,,Retail,,
No,10/14/2017,"AHS - Warrington,PA",AHS,Company,5284,5284,5284,9041,321,,Warrington,PA,18976,1661 Easton Road,C-1,40.26815,-75.12921,,3/4/2012,,Retail,,
No,1/28/2017,"HTS - Leavenworth,KS",HTS,,5303,5303,5303,9039,201,,Leavenworth,KS,66048,4820 S 4th Street,,,,,,,Retail,,
No,7/31/2016,"HAS - Grand Prairie,TX",HAS,,5319,5319,5319,9080R,205,,Grand Prairie,,,,,,,,,,Retail,,
No,12/16/2016,"AHS - Collinsville,IL",AHS,,5320,5320,5320,9041,306,,Collinsville,IL,62234,501 Beltline Road,Suite P,,,,,,Retail,,
No,3/31/2017,"AHS - Fishers,IN",AHS,,5340,5340,5340,9041,306,,Fishers,IN,46038,11728 Fishers Crossing Drive,,,,,,,Retail,,
No,10/28/2016,"AHS - Bainbridge,OH",AHS,,5341,5341,5341,9041,314,,Bainbridge,OH,44023,8459 Washington Street,,,,,,,Retail,,
No,12/9/2016,"AHS - ASHLAND,MA",AHS,,5353,5353,5353,9041,322,,ASHLAND,MA,01721,310 POND ST RT 126,,,,,,,Retail,,
No,2/28/2017,"AHS - Belleville,IL",AHS,,5371,5371,5371,9041,306,,Belleville,IL,62221,653 Carlyle Avenue,Suite C,,,,,,Retail,,
