Location Store,Location,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
"Portage, IN (5157)","Portage, IN",AHS,Company,5157,5157,5157,9041,302,,Portage,IN,46368,6169 US Route 6,,41.54799,-87.176336,,1/31/2016,,Retail,,
"Germantown, WI (5471)","Germantown, WI",AHS,Company,5471,5471,5471,9041,302,,Germantown,WI,53022,N 96 W 18650 County Line Road,,43.193499,-88.140778,,1/31/2016,,Retail,,
"Ponderay, ID (9296)","Ponderay, ID",AHS,Franchise,9296,9296,9296,9041,302,,Ponderay,ID,83852,300 Bonner Mall Way,Suite 102-105,48.301967,-116.541909,,,,Retail,,
"Big Rapids, MI (5053)","Big Rapids, MI",AHS,Franchise,5053,5053,5053,9041,302,,Big Rapids,MI,49307,14305 Northland Drive,,43.67384,-85.48496,,,,Retail,,
"Batavia, IL (5472)","Batavia, IL",AHS,Franchise,5472,5472,5472,9041,302,,Batavia,IL,60510,3 N Randall Road,,41.850239,-88.342533,,4/2/2011,,Retail,,
"Logan, UT (5578)","Logan, UT",AHS,Franchise,5578,5578,5578,9041,302,,Logan,UT,84321,115 E 400 N,,41.74055,-111.831724,,,,Retail,,
"Bad Axe, MI (5592)","Bad Axe, MI",AHS,Franchise,5592,5592,5592,9041,302,,Bad Axe,MI,48413,850 N Van Dyke,,43.81627,-82.998195,,9/1/2013,,Retail,,
"Sheboygan, WI (5593)","Sheboygan, WI",AHS,Franchise,5593,5593,5593,9041,302,,Sheboygan,WI,53081,2836 S. Business Drive,,43.724077,-87.735622,,,,Retail,,
"Bolingbrook, IL (5702)","Bolingbrook, IL",AHS,Franchise,5702,5702,5702,9041,302,,Bolingbrook,IL,60440,200 N Weber Road,,41.70083,-88.12381,,3/31/2013,,Retail,,
"Katy, TX (5246)","Katy, TX",AHS,Franchise,5246,5246,5246,9041,311,,Katy,TX,77450,649 S Mason Road,,29.773096,-95.751294,,11/1/2010,,Retail,,
"Huntsville, TX (5688)","Huntsville, TX",AHS,Franchise,5688,5688,5688,9041,311,,Huntsville,TX,77340,291 Interstate 45,,30.71513,-95.567647,,,,Retail,,
"Easton, PA (5083)","Easton, PA",AHS,Company,5083,5083,5083,9041,321,,Easton,PA,18045,3762 Easton-Nazareth Highway,,40.711513,-75.281705,,12/18/2014,,Retail,,
"Norristown, PA (5223)","Norristown, PA",AHS,Company,5223,5223,5223,9041,321,,Norristown,PA,19401,2811 Dekalb Pike,,40.14144,-75.314794,,4/29/2012,,Retail,,
"GLASSBORO, NJ (5243)","GLASSBORO, NJ",AHS,Company,5243,5243,5243,9041,321,,GLASSBORO,NJ,08028,616 N DELSEA DR (RT 47),,39.716425,-75.110662,,3/4/2012,,Retail,,
"Columbus, OH (5301)","Columbus, OH",AHS,Company,5301,5301,5301,9041,321,,Columbus,OH,43220,1800 W Henderson Road,,40.056283,-83.06735,,3/6/2016,,Retail,,
"Parma, OH (5871)","Parma, OH",AHS,Company,5871,5871,5871,9041,321,,Parma,OH,44134,7490 Broadview Road,,41.362402,-81.685552,,1/24/2016,,Retail,,
"HOWELL, NJ (5874)","HOWELL, NJ",AHS,Company,5874,5874,5874,9041,321,,HOWELL,NJ,07731,4010 ROUTE 9 S,,40.153625,-74.229786,,6/3/2012,,Retail,,
"MIDLAND PARK, NJ (5902)","MIDLAND PARK, NJ",AHS,Company,5902,5902,5902,9041,321,,MIDLAND PARK,NJ,07432,80 GODWIN AVE,,40.985509,-74.137577,,6/3/2012,,Retail,,
"Houston, TX (1808)","Houston, TX",HAS,Franchise,1808,1808,1808,9080,205,,Houston,TX,77084,1150 N Fry Road,,29.78603,-95.717345,,,,Retail,,
"Tomball, TX (1809)","Tomball, TX",HAS,Franchise,1809,1809,1809,9080,205,,Tomball,TX,77377,14099 FM 2920,,30.088989,-95.63515,,1/27/2010,,Retail,,
"League City, TX (1857)","League City, TX",HAS,Franchise,1857,1857,1857,9080,205,,League City,TX,77573,2805 Gulf Freeway South,,29.469422,-95.094691,,1/27/2010,,Retail,,
"Houston, TX (1859)","Houston, TX",HAS,Franchise,1859,1859,1859,9080,205,,Houston,TX,77049,15242 Wallisville Road,,29.806865,-95.167899,,11/20/2009,,Retail,,
"Pearland, TX (1938)","Pearland, TX",HAS,Franchise,1938,1938,1938,9080,205,,Pearland,TX,77584,10904 Memorial Hermann Drive,,29.559116,-95.388772,,11/20/2009,,Retail,,
"Pasadena, TX (1965)","Pasadena, TX",HAS,Franchise,1965,1965,1965,9080,205,,Pasadena,TX,77505,5932 Fairmont Parkway,,29.647521,-95.150207,,11/20/2009,,Retail,,
"Spring, TX (6942)","Spring, TX",HAS,Franchise,6942,6942,6942,9080,205,,Spring,TX,77386,26914 Interstate 45 North,,30.156108,-95.448089,,,,Retail,,
"SUGAR LAND, TX (7178)","SUGAR LAND, TX",HAS,Franchise,7178,7178,7178,9080,205,,SUGAR LAND,TX,77478,15850 SOUTHWEST FREEWAY,,29.600974,-95.6223,,,,Retail,,
"CYPRESS, TX (7379)","CYPRESS, TX",HAS,Franchise,7379,7379,7379,9080,205,,CYPRESS,TX,77429,25704 North West Fwy Ste A,,29.969989,-95.690725,,11/20/2009,,Retail,,
"CONROE, TX (7391)","CONROE, TX",HAS,Franchise,7391,7391,7391,9080,205,,CONROE,TX,77304,1302 W DAVIS STREET STE G,,30.316254,-95.473325,,4/20/2007,,Retail,,
"Humble, TX (7403)","Humble, TX",HAS,Franchise,7403,7389,7403,9080,205,,Humble,TX,77346,5737 FM 1960 East,,29.999157,-95.185451,,1/27/2010,,Retail,,
"Houston, TX (9099)","Houston, TX",HAS,Franchise,9099,9099,9099,9080,205,,Houston,TX,77027,3277 Southwest Freeway,,29.728649,-95.431798,,,,Retail,,
"Goodyear, AZ (1829)","Goodyear, AZ",HAS,Franchise,1829,1829,1829,9080,205,,Goodyear,AZ,85338,13277 W McDowell Road,,33.461772,-112.344278,,6/6/2010,,Retail,,
"Tucson, AZ (1848)","Tucson, AZ",HAS,Franchise,1848,1848,1848,9080,205,,Tucson,AZ,85741,3951 Costco Drive,,32.330698,-111.048502,,5/1/2011,,Retail,,
"Scottsdale, AZ (4778)","Scottsdale, AZ",HAS,Franchise,4778,4778,4778,9080,205,,Scottsdale,AZ,85260,8684 E Raintree Drive,,33.619889,-111.894999,,,,Retail,,
"Surprise, AZ (6997)","Surprise, AZ",HAS,Franchise,6997,6997,6997,9080,205,,Surprise,AZ,85374,13980 W Bell Road,Suites 10-14,33.640271,-112.361198,,,,Retail,,
"Chandler, AZ (9080)","Chandler, AZ",HAS,Franchise,9080,3008,9080,9080,205,,Chandler,AZ,85286,2100 S Gilbert Road,,33.275553,-111.789762,,6/11/2010,,Retail,,
"Cranberry Township, PA (6016)","Cranberry Township, PA",HAS,Company,6016,6016,6016,9080,222,,Cranberry Township,PA,16066,2045 Mackenzie Way,Suite 400,40.687026,-80.089487,,,,Retail,,
"Streetsboro, OH (6076)","Streetsboro, OH",HAS,Company,6076,6076,6076,9080,222,,Streetsboro,OH,44241,1276 State Route 303,,41.237462,-81.348075,,,,Retail,,
"Monroeville, PA (7015)","Monroeville, PA",HAS,Company,7015,7015,7015,9080,222,,Monroeville,PA,15146,3838 William Penn Highway,,40.436498,-79.781542,,,,Retail,,
"SPRINGFIELD, PA (7190)","SPRINGFIELD, PA",HAS,Company,7190,7190,7190,9080,222,,SPRINGFIELD,PA,19064,1180-1182 BALTIMORE PIKE,,39.914313,-75.348133,,10/21/2012,,Retail,,
"Snellville, GA (9073)","Snellville, GA",HAS,Franchise,9073,3005,9073,9080,222,,Snellville,GA,30078,1905 Scenic Highway,,33.878538,-84.013286,,5/5/2013,,Retail,,
