"pos_nbr","ordc_nbr","eis_nbr","location_name","location_format","location_type","operator_type","operator_name","district","region","city","state","zipcode","address1","address2","open_dt","close_dt","inactive"
"1741","","1741","HAS - Rock Hill,MO","HAS","Retail","","N/A","290","9080R","Rock Hill","MO","63119","9544 Manchester Road","","","7/29/2017","False"
"1803","","1803","HAS - Manchester,MO","HAS","Retail","","N/A","290","9080R","Manchester","MO","63011","14173 Manchester Road","","","7/29/2017","False"
"1861","","1861","HAS - North Aurora,IL","HAS","Retail","","N/A","290","9080R","North Aurora","IL","60542","106 Hansen Boulevard","","","1/7/2017","False"
"1926","","1926","HAS - Matthews,NC","HAS","Retail","","N/A","222","9080R","Matthews","NC","28105","9721 E Independence Boulevard","","","3/28/2017","False"
"1928","","1928","HAS - Mansfield,TX","HAS","Retail","","N/A","205","9080R","Mansfield","TX","76063","1405 Highway 287 North","Suite 107","","7/29/2017","False"
"1936","","1936","HAS - Flower Mound,TX","HAS","Retail","","N/A","205","9080R","Flower Mound","TX","75028","5810 Long Prairie Road","","","7/29/2017","False"
"2024","","2024","HAS - Denham Springs,LA","HAS","Retail","","N/A","240","9080R","Denham Springs","LA","70726","2370 South Range Avenue","","","9/27/2016","False"
"2193","","2193","HAS - Columbus,OH","HAS","Retail","","N/A","290","9080R","Columbus","OH","43219","4028 Morse Crossing","","","12/31/2016","False"
"2194","","2194","HAS - Laurel,MD","HAS","Retail","","N/A","370","9080R","Laurel","MD","20707","13600 Baltimore Avenue","","","9/30/2016","False"
"2235","","2235","HAS - Lake Worth,FL","HAS","Retail","","N/A","222","9080R","Lake Worth","FL","33467","6169 S Jog Road","Suite 8A-10A","","3/31/2017","False"
"2531","","2531","HAS - Austin,TX","HAS","Retail","","N/A","240","9080R","Austin","TX","78759","10225 Research Boulevard","Suite 200","","4/30/2017","False"
"2542","","2542","HAS - Aurora,CO","HAS","Retail","","N/A","229","9080R","Aurora","CO","80016","6290 South Main Street","Suite M-108","","1/28/2017","False"
"2559","","2559","HAS - Sandy,UT","HAS","Retail","","N/A","229","9080R","Sandy","UT","84094","9269 S Village Shop Drive","","","6/29/2017","False"
"2785","","2785","HAS - Miami,FL","HAS","Retail","","N/A","222","9080R","Miami","FL","33186","11780 N Kendall Drive","","","12/31/2016","False"
