"TRS_DT","LOC_NO","DIV_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","gross_profit","reject_reason"
"2017-01-29","1741","20","15.99","1","0","0","0","0","0","0","0","0","0","15.99","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location1741"
"2017-01-29","1741","22","2456.1799999999998","7","315.88","2","809.98000000000002","2","733.75","809.98000000000002","2","0","0","680.96000000000004","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location1741"
"2017-01-29","1741","26","309.48000000000002","2","58.590000000000003","1","290.49000000000001","1","263","290.49000000000001","1","0","0","419.48000000000002","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location1741"
"2017-01-29","1741","46","1884.53","5","449.99000000000001","1","1812.5799999999999","2","1157.4000000000001","1812.5799999999999","2","0","0","1812.5799999999999","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location1741"
"2017-01-29","1803","20","15.99","1","0","0","0","0","0","0","0","0","0","15.99","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location1803"
"2017-01-29","1803","22","3640.6999999999998","5","39.990000000000002","1","3555.21","4","1709.25","3555.21","4","0","0","3640.7000000000003","0","0","5","0","0","T","20170129","","Unable to find POS in dim.location1803"
"2017-01-29","1803","26","5853.6400000000003","18","947.63999999999999","6","5564.7600000000002","10","2815.1399999999999","4984.7799999999997","8","0","0","5328.29","0","0","17","0","0","T","20170129","","Unable to find POS in dim.location1803"
"2017-01-29","1803","46","1658.6800000000001","2","0","0","1658.6800000000001","2","941.29999999999995","1359.4400000000001","1","0","0","1658.6800000000001","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location1803"
"2017-01-29","1928","20","349.99000000000001","1","0","0","349.99000000000001","1","0","0","0","0","0","349.99000000000001","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location1928"
"2017-01-29","1928","22","2142.3499999999999","5","287.99000000000001","1","1403.98","2","677.60000000000002","1403.98","2","0","0","1165.97","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location1928"
"2017-01-29","1928","26","1202.95","4","0","0","1133.98","2","526","1133.98","2","0","0","1202.95","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location1928"
"2017-01-29","1928","46","1778.8800000000001","9","0","0","1529.98","2","770","1529.98","2","0","0","1756.9200000000001","0","0","7","0","0","T","20170129","","Unable to find POS in dim.location1928"
"2017-01-29","1936","20","664.25999999999999","4","0","0","0","0","465.69999999999999","0","0","0","0","441.97000000000003","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location1936"
"2017-01-29","1936","22","2720.9200000000001","5","348.88999999999999","2","2674.6599999999999","3","1727.03","2674.6599999999999","3","0","0","2440.2400000000002","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location1936"
