"TRS_DT","LOC_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","spp_sales","spp_merch_sales","bulk_sales","bulk_units","sears_credit_sales","other_credit_sales","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","reject_reason"
"2017-01-29","1741","4666.1800000000003","15","824.46000000000004","4","2913.0500000000002","5","2154.1500000000001","2913.0500000000002","5","0","0","0","0","0","0","4481.1999999999998","6630.5600000000004","2929.0100000000002","0","0","9","0","0","T","20170129","Unable to find POS in dim.location1741"
"2017-01-29","1803","11169.01","26","987.63","7","10778.650000000001","16","5465.6900000000005","9899.4300000000003","13","0","0","0","0","0","0","9663.3199999999997","12899.389999999999","10643.66","0","0","25","0","0","T","20170129","Unable to find POS in dim.location1803"
"2017-01-29","1928","5474.1699999999992","19","287.99000000000001","1","4417.9300000000003","7","1973.5999999999999","4067.9400000000001","6","0","0","0","0","0","0","3731.6799999999998","5742.6999999999998","4475.8299999999999","0","0","15","0","0","T","20170129","Unable to find POS in dim.location1928"
"2017-01-29","1936","7391.25","15","978.87","4","6613.6499999999996","7","5325.5999999999995","6613.6499999999996","7","0","0","42","521.98000000000002","0","0","1777.8599999999999","9966.8099999999995","6838.2899999999991","0","0","12","0","0","T","20170129","Unable to find POS in dim.location1936"
"2017-01-29","1937","12279.529999999999","29","1446.24","6","10249.83","14","6936.1199999999999","9831.8499999999985","12","0","0","0","0","0","0","6052.21","15672.040000000001","8617.4899999999998","0","0","18","0","0","T","20170129","Unable to find POS in dim.location1937"
"2017-01-29","2559","2272.04","6","548.98000000000002","2","2203.0699999999997","4","1246.8900000000001","2203.0699999999997","4","0","0","0","0","0","0","2181.3499999999999","2693.7199999999998","1792.52","0","0","5","0","0","T","20170129","Unable to find POS in dim.location2559"
"2017-01-29","3015","12236.67","19","1945.9400000000001","6","10742.310000000001","8","7921.1499999999996","11240.310000000001","10","0","0","0","0","0","0","14479.07","16285.469999999999","3072.9400000000005","0","0","10","0","0","T","20170129","Unable to find POS in dim.location3015"
"2017-01-29","3792","12947.420000000002","37","568.55999999999995","4","11766.419999999998","16","7024.1700000000001","11766.419999999998","16","0","0","0","0","0","0","4210.3500000000004","15422.91","10254.27","0","0","28","0","0","T","20170129","Unable to find POS in dim.location3792"
"2017-01-29","4973","3676.1599999999999","21","199.99000000000001","1","2032.3199999999999","5","5124.5900000000001","1762.3200000000002","4","667.78000000000009","4","0","386.98000000000002","0","0","199.99000000000001","4043.3699999999999","2104.23","270","0","10","1","0","T","20170129","Unable to find POS in dim.location4973"
"2017-01-29","5056","5644.7199999999993","18","206.99000000000001","1","4455.29","8","6319.0699999999997","4455.29","8","0","0","0","0","0","0","4209.4700000000003","5627.96","3404.46","0","0","9","0","0","T","20170129","Unable to find POS in dim.location5056"
"2017-01-29","5064","10892.450000000001","26","-97","0","10581.85","13","9333.2200000000012","10551.860000000001","12","0","0","0","0","0","0","1811.1300000000001","12180.83","8327.7700000000004","0","0","16","0","0","T","20170129","Unable to find POS in dim.location5064"
"2017-01-29","6901","14371.630000000001","27","539.98000000000002","2","11891.01","10","11097.130000000001","11891.01","10","0","0","0","444.87","0","0","6469.5799999999999","17136.029999999999","9241.8700000000008","0","0","14","0","0","T","20170129","Unable to find POS in dim.location6901"
"2017-01-29","9299","3473.48","9","575.98000000000002","2","2455.0299999999997","4","3586.4299999999998","2455.0299999999997","4","0","0","0","119.98999999999999","0","0","3050.8200000000002","4453.4499999999998","2067.5199999999995","0","0","5","0","0","T","20170129","Unable to find POS in dim.location9299"
"2017-01-29","9935","8054.9600000000009","26","486.47000000000003","3","6714.0499999999993","11","4213.04","6714.0499999999993","11","0","0","0","0","0","0","9351.6800000000003","9351.6800000000003","4468.3899999999994","0","0","18","0","0","T","20170129","Unable to find POS in dim.location9935"
"2017-01-29","9937","6667.9699999999993","14","918.85000000000002","5","6457.0199999999995","9","4186.8900000000003","6457.0199999999995","9","2214.0799999999999","2","0","125.98999999999999","0","0","4649.2600000000002","8650.5699999999997","6200.869999999999","0","0","13","0","0","T","20170129","Unable to find POS in dim.location9937"
"2017-01-30","1741","49.990000000000002","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.799999999999997","0","0","0","0","0","0","T","20170130","Unable to find POS in dim.location1741"
"2017-01-30","1803","-262.69","-1","0","0","-60","0","-197.30000000000001","-60","0","0","0","0","0","0","0","-65.019999999999996","-284.66000000000003","-60","0","0","0","0","0","T","20170130","Unable to find POS in dim.location1803"
"2017-01-30","1928","49.979999999999997","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.569999999999993","49.979999999999997","0","0","1","0","0","T","20170130","Unable to find POS in dim.location1928"
"2017-01-30","1936","4150.6099999999997","11","259.98000000000002","2","3886.71","4","853.25","3886.71","4","0","0","0","0","0","0","4283.0699999999997","5043.5600000000004","1734.6800000000001","0","0","6","0","0","T","20170130","Unable to find POS in dim.location1936"
"2017-01-30","1937","4260.8699999999999","12","622.76999999999998","3","4069.9499999999998","5","2153.9899999999998","4069.9499999999998","5","2262.4000000000001","3","0","16","0","0","0","5437.9200000000001","3094.9000000000001","16","0","8","1","0","T","20170130","Unable to find POS in dim.location1937"
"2017-01-30","2559","4750.3800000000001","6","0","0","4376.8800000000001","5","2197.3599999999997","4346.8899999999994","4","0","0","0","0","0","0","3169.8699999999999","4626.5200000000004","648.93000000000006","0","0","0","0","0","T","20170130","Unable to find POS in dim.location2559"
"2017-01-30","3015","711.88000000000011","6","0","0","372.93000000000001","1","632.05999999999995","372.93000000000001","1","0","0","0","164.99000000000001","0","0","0","761.71000000000004","711.88000000000011","0","0","6","0","0","T","20170130","Unable to find POS in dim.location3015"
"2017-01-30","3792","4623.3400000000001","13","659.97000000000003","3","4327.4399999999996","6","1172.5","4327.4399999999996","6","0","0","0","0","0","0","2658.1399999999999","6040.5699999999997","2113.3800000000001","0","0","9","0","0","T","20170130","Unable to find POS in dim.location3792"
